ETAT / LF;Code Rubrique;D‚signation Rubrique
F6001;F60010004;Investissement recherche et developpement
F6001;F60010005;Concess. marque,brevet,licence,marque
F6001;F60010006;Logiciels
F6001;F60010007;Fonds commercial
F6001;F60010008;Droit au bail
F6001;F60010009;Autres Immobilisations Incorporelles
F6001;F60010010;Immobilisations Incorporelles en cours
F6001;F60010011;Av. et Ac. Verses/Cmde.Immob.Incorp.
F6001;F60010013;Terrains
F6001;F60010014;Constructions
F6001;F60010015;Inst. Tech., materiel et outillages Industriels
F6001;F60010016;Materiel de transport 
F6001;F60010017;Autres Immobilisations Corporelles 
F6001;F60010018;Immob. Corporelles en cours
F6001;F60010019;Av. et Ac. Verses/Commande Immob.Corp.
F6001;F60010020;Immob. a statut juridique particulier
F6001;F60010022;Actions
F6001;F60010023;Autres creances rattach. a des participat.
F6001;F60010024;Creances rattach. a des stes en participat.
F6001;F60010025;Vers.a eff./titre de participation non liberes
F6001;F60010026;Titres immobilises (droit de propriete)
F6001;F60010027;Titres immobilises (droit de creance)
F6001;F60010028;Depots et cautionnements verses
F6001;F60010029;Autres creances immobilisees
F6001;F60010030;Vers.a eff./Titres immobilises non liberes
F6001;F60010032;Frais preliminaires
F6001;F60010033;Charges a repartir
F6001;F60010034;Frais d'emission et primes de Remb. Empts
F6001;F60010035;ecarts de conversion
F6001;F60010038;Stocks Matieres Premieres et Fournit. Liees
F6001;F60010039;Stocks Autres Approvisionnements
F6001;F60010040;Stocks En-cours de production de biens
F6001;F60010041;Stocks En-cours de production services
F6001;F60010042;Stocks de produits
F6001;F60010043;Stocks de marchandises
F6001;F60010045;Clients  et  comptes rattaches
F6001;F60010046;Clients - effets a recevoir
F6001;F60010047;Clients douteux ou litigieux
F6001;F60010048;Creances/travaux non encore facturables
F6001;F60010049;Clt-pdts non encore factures (pdt a recev.)
F6001;F60010051;Fournisseurs debiteurs
F6001;F60010052;Personnel et comptes rattaches
F6001;F60010053;etat et collectivites publiques
F6001;F60010054;Societes du groupe  et  associes
F6001;F60010055;Debiteurs divers et Crediteurs divers
F6001;F60010056;Comptes transitoires ou d'attente
F6001;F60010057;Comptes de regularisation
F6001;F60010058;Prov. / deprec. comptes debiteurs divers
F6001;F60010060;Prets et autres creances Fin. courants
F6001;F60010061;Placements courants
F6001;F60010062;Regies d'avances et accreditifs
F6001;F60010063;Prov. / deprec. des comptes financiers
F6001;F60010065;Banques, etabl. Financiers et assimiles
F6001;F60010066;Caisse
F6001;F60010067;Autres Postes des Actifs du Bilan
F6002;F60020002;Capital social
F6002;F60020003;R‚serves
F6002;F60020004;Autres capitaux propres
F6002;F60020005;R‚sultats report‚s
F6002;F60020007;R‚sultat de l'exercice
F6002;F60020011;Emprunts obligataires (assortis de s–ret‚s)
F6002;F60020012;Empts auprŠs d'‚tab.Fin. (assortis de s–ret‚s)
F6002;F60020013;Empts auprŠs d'‚tab.Fin. (assorti de s–ret‚s)
F6002;F60020014;Empts et dettes assorties de condit. particuli‚res
F6002;F60020015;Emprunts non assortis de s–ret‚s
F6002;F60020016;Dettes rattach‚es … des participations
F6002;F60020017;D‚p“ts  et  cautionnements re‡us
F6002;F60020018;Autres emprunts et dettes
F6002;F60020020;Ecarts de conversion
F6002;F60020021;Autres passifs financiers
F6002;F60020023;Provisions pour risques
F6002;F60020024;Prov.pour charges … r‚partir/plusieurs exercices
F6002;F60020025;Prov.pour retraites et obligations similaires
F6002;F60020026;Provisions d'origine r‚glementaire
F6002;F60020027;Provisions pour imp‚ts
F6002;F60020028;Prov.pour renouvellement des immobilisations
F6002;F60020029;Provisions pour amortissement
F6002;F60020030;Autres provisions pour charges
F6002;F60020033;Fournisseurs d'exploitation
F6002;F60020034;Fournisseurs d'exploitation - effets … payer
F6002;F60020035;Fournisseurs d'immobilisations
F6002;F60020036;Fournisseurs d'immobilisations - effets … payer
F6002;F60020037;Fournisseurs - factures non parvenues
F6002;F60020039;Clients cr‚diteurs
