C1;C2;Num;Libellé;Sens;Affectation;Cycle;NEF;Etat;Rubrique;Catégorie;Sous Catégorie;ETAT / LF;Code Rubrique;
1;10;101;Capital social;101D;B.2.1.1.;K;CP.01;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.1. Capital social;F6002;F60020002;Capital social
1;10;101;Capital social;101C;B.2.1.1.;K;CP.01;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.1. Capital social;F6002;F60020002;Capital social
1;10;105;Fonds de dotation;105D;B.2.1.1.;K;CP.01;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.1. Capital social;F6002;F60020002;Capital social
1;10;105;Fonds de dotation;105C;B.2.1.1.;K;CP.01;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.1. Capital social;F6002;F60020002;Capital social
1;10;108;Compte de l'exploitant;108D;B.2.1.1.;K;CP.01;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.1. Compte de l'exploitant;F6002;F60020002;Capital social
1;10;108;Compte de l'exploitant;108C;B.2.1.1.;K;CP.01;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.1. Compte de l'exploitant;F6002;F60020002;Capital social
1;10;109;Actionnaires, capital souscrit - non appelé;109D;B.2.1.1.;K;CP.01;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.1. Capital social;F6002;F60020004;Autres capitaux propres
1;10;109;Actionnaires, capital souscrit - non appelé;109C;B.2.1.1.;K;CP.01;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.1. Capital social;F6002;F60020004;Autres capitaux propres
1;11;111;Réserve légale;111D;B.2.1.2.;K;CP.02;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.2. Réserves;F6002;F60020003;Réserves
1;11;111;Réserve légale;111C;B.2.1.2.;K;CP.02;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.2. Réserves;F6002;F60020003;Réserves
1;11;112;Réserves statutaires;112D;B.2.1.2.;K;CP.02;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.2. Réserves;F6002;F60020003;Réserves
1;11;112;Réserves statutaires;112C;B.2.1.2.;K;CP.02;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.2. Réserves;F6002;F60020003;Réserves
1;11;117;Primes liées au capital;117D;B.2.1.2.;K;CP.02;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.2. Réserves;F6002;F60020003;Réserves
1;11;117;Primes liées au capital;117C;B.2.1.2.;K;CP.02;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.2. Réserves;F6002;F60020003;Réserves
1;11;118;Autres réserves;118D;B.2.1.2.;K;CP.02;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.2. Réserves;F6002;F60020003;Réserves
1;11;118;Autres réserves;118C;B.2.1.2.;K;CP.02;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.2. Réserves;F6002;F60020003;Réserves
1;11;119;Avoirs des actionnaires;119D;B.2.1.2.;K;CP.02;Bilan;2. Capitaux Propres et Passifs;2.1. Capitaux propres;2.1.2. Réserves;F6002;F60020003;Réserves
